ClientCompany,Division,Region,ServiceType,ServiceCost,CustomerName,CustomerContact,CustomerAddress,DateInterviewed,InvoiceDate,WorkOrderCloseDate,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,AverageScore,NPS_Label,WasQueueLong,WasStaffPolite,UsedMobileBanking,IssueResolved,WaitTimeCategory
Tanner LLC,Online Division,California,Account Opening,3496.71,Sherri Fields,001-336-285-9154,"44574 Curtis Hill, Bakerton, WA 92558",2024-01-26,2024-01-26,2024-08-23,7,9,10,7,7,10,8.333333333333334,Passive,False,True,True,True,medium
Williams-Blevins,Online Division,California,Branch Services,3767.43,Tony Mack,7967913130,"1886 Gomez Spur, South Georgeside, MA 46517",2024-02-23,2024-02-23,2024-06-27,7,9,7,7,8,4,7.0,Passive,False,True,True,True,medium
"Adams, Becker and Meyer",Headquarters,Florida,Branch Services,1275.08,Rebecca Alvarado,(405)375-7631x46037,"6351 Parker Via Suite 034, Vargaschester, GU 35442",2024-11-10,2024-11-10,2024-12-21,6,5,8,6,5,10,6.666666666666667,Detractor,False,True,False,True,short
Graham Group,Headquarters,Ohio,Investment Services,2774.22,Catherine Mcgee,001-951-344-0117x8661,"PSC 0039, Box 2179, APO AE 54929",2024-05-08,2024-05-08,2024-11-14,8,5,6,8,5,8,6.666666666666667,Detractor,False,True,False,True,short
Mcknight-Anderson,Regional Branch,Pennsylvania,Branch Services,2399.36,Joseph Mcbride,395-411-9676x2657,"0907 Spears Loaf Apt. 895, Leonardton, MI 97424",2024-12-23,2024-12-23,2024-12-24,7,6,10,7,5,9,7.333333333333333,Passive,False,False,False,True,long
"Garcia, Greene and Perkins",Regional Branch,California,Branch Services,1779.16,Katherine Nelson,(874)761-1715,"81617 Baker Grove, East Kathleentown, MO 59091",2024-06-06,2024-06-06,2024-08-06,8,4,5,8,9,8,7.0,Passive,False,False,False,True,medium
Fleming and Sons,Headquarters,Florida,Investment Services,2884.35,Jennifer Montgomery,292-856-4443x04083,"581 Michael Groves, Port Jennifer, IL 18300",2024-04-20,2024-04-20,2024-09-28,7,5,6,7,10,8,7.166666666666667,Passive,True,False,True,True,short
"Hardin, Escobar and Barnett",Regional Branch,Texas,Investment Services,1236.96,Carla Frost,463-839-4680,"764 Atkinson Ridges Apt. 371, South Johnland, DC 91573",2024-03-29,2024-03-29,2024-10-30,8,7,6,9,10,9,8.166666666666666,Passive,False,True,False,True,medium
Moore and Sons,Headquarters,Texas,Branch Services,2160.78,John Garcia,378.713.7453,"08565 Louis Falls, Karenton, KS 86052",2024-05-15,2024-05-15,2024-08-03,7,8,9,7,7,5,7.166666666666667,Passive,True,True,False,True,long
Mooney-Shields,Online Division,Florida,Investment Services,1803.79,Michael Green,484.928.1367x1082,"8624 Farrell Isle Apt. 641, South Michaelborough, SD 07885",2024-09-29,2024-09-29,2024-11-15,9,10,7,10,8,6,8.333333333333334,Passive,True,True,True,True,short
